=== 0: 0 | @ 1m7s.358
=== 1: 0 | @ 2m15s.86
=== 2: 0 | @ 3m23s.105
=== 3: 0 | @ 4m32s.260
=== 4: 0 | @ 5m39s.208
=== 5: 0 | @ 6m51s.458
=== 6: 0 | @ 8m2s.716
=== 7: 0 | @ 9m14s.937
=== 8: 0 | @ 10m27s.248
=== 9: 0 | @ 11m38s.975
=== 10: 0 | @ 12m49s.517
=== 11: 0 | @ 13m59s.926
=== 12: 0 | @ 15m8s.281
=== 13: 0 | @ 16m18s.718
=== 14: 0 | @ 17m26s.675
=== 15: 0 | @ 18m36s.34
=== 16: 0 | @ 19m42s.463
=== 17: 0 | @ 20m51s.254
=== 18: 0 | @ 22m1s.268
=== 19: 0 | @ 23m12s.212
=== 20: 0 | @ 24m22s.922
=== 21: 0 | @ 25m33s.561
=== 22: 0 | @ 26m43s.283
=== 23: 0 | @ 27m51s.835
=== 24: 0 | @ 29m0s.156
=== 25: 0 | @ 30m10s.572
=== 26: 0 | @ 31m21s.530
=== 27: 0 | @ 32m29s.678
=== 28: 0 | @ 33m39s.94
=== 29: 0 | @ 34m46s.819
=== 30: 0 | @ 35m54s.484
=== 31: 0 | @ 37m2s.760
=== 32: 0 | @ 38m11s.770
=== 33: 0 | @ 39m21s.386
=== 34: 0 | @ 40m32s.202
=== 35: 0 | @ 41m49s.83
=== 36: 0 | @ 43m4s.126
=== 37: 0 | @ 44m18s.685
=== 38: 0 | @ 45m34s.590
=== 39: 0 | @ 46m50s.798
=== 40: 0 | @ 48m9s.99
=== 41: 0 | @ 49m25s.506
=== 42: 0 | @ 50m40s.917
=== 43: 0 | @ 51m58s.268
=== 44: 0 | @ 53m15s.247
=== 45: 0 | @ 54m30s.462
=== 46: 0 | @ 55m46s.70
=== 47: 0 | @ 57m0s.668
=== 48: 0 | @ 58m16s.497
=== 49: 0 | @ 59m32s.497
=== 50: 0 | @ 60m48s.868
=== 51: 0 | @ 62m4s.178
=== 52: 0 | @ 63m19s.540
=== 53: 0 | @ 64m34s.163
=== 54: 0 | @ 65m50s.997
=== 55: 0 | @ 67m8s.52
=== 56: 0 | @ 68m22s.830
=== 57: 0 | @ 69m34s.226
=== 58: 0 | @ 70m44s.582
=== 59: 0 | @ 71m54s.13
=== 60: 0 | @ 73m1s.483
=== 61: 0 | @ 74m7s.467
=== 62: 0 | @ 75m15s.106
=== 63: 0 | @ 76m20s.777
=== 64: 0 | @ 77m26s.798
=== 65: 0 | @ 78m32s.718
=== 66: 0 | @ 79m38s.46
=== 67: 0 | @ 80m42s.540
=== 68: 0 | @ 81m43s.325
=== 69: 0 | @ 82m36s.267
=== 70: 0 | @ 83m31s.964
=== 71: 0 | @ 84m28s.250
=== 72: 0 | @ 85m24s.307
=== 73: 0 | @ 86m20s.693
=== 74: 0 | @ 87m18s.854
=== 75: 0 | @ 88m14s.505
=== 76: 0 | @ 89m12s.24
=== 77: 0 | @ 90m5s.760
=== 78: 0 | @ 91m3s.197
=== 79: 0 | @ 92m0s.314
=== 80: 0 | @ 92m57s.754
=== 81: 0 | @ 93m53s.8
=== 82: 0 | @ 94m48s.203
=== 83: 0 | @ 95m43s.848
=== 84: 0 | @ 96m39s.480
=== 85: 0 | @ 97m34s.380
=== 86: 0 | @ 98m31s.621
=== 87: 0 | @ 99m26s.474
=== 88: 0 | @ 100m23s.7
=== 89: 0 | @ 101m19s.233
=== 90: 0 | @ 102m13s.960
=== 91: 0 | @ 103m8s.175
=== 92: 0 | @ 104m4s.240
=== 93: 0 | @ 104m55s.608
=== 94: 0 | @ 105m49s.466
=== 95: 0 | @ 106m41s.109
=== 96: 0 | @ 107m32s.944
=== 97: 0 | @ 108m25s.528
=== 98: 0 | @ 109m20s.280
=== 99: 0 | @ 110m12s.639
=== 100: 0 | @ 111m5s.314
=== 101: 0 | @ 111m57s.929
=== 102: 0 | @ 112m54s.357
=== 103: 0 | @ 113m52s.359
=== 104: 0 | @ 114m49s.41
=== 105: 0 | @ 115m46s.553
=== 106: 0 | @ 116m44s.225
=== 107: 0 | @ 117m42s.509
=== 108: 0 | @ 118m39s.744
=== 109: 0 | @ 119m36s.556
=== 110: 0 | @ 120m32s.551
=== 111: 0 | @ 121m28s.16
=== 112: 0 | @ 122m22s.421
=== 113: 0 | @ 123m16s.572
=== 114: 0 | @ 124m11s.749
=== 115: 0 | @ 125m4s.920
=== 116: 0 | @ 125m58s.149
=== 117: 0 | @ 126m50s.668
=== 118: 0 | @ 127m42s.989
=== 119: 0 | @ 128m34s.958
=== 120: 0 | @ 129m27s.62
=== 121: 0 | @ 130m18s.880
=== 122: 0 | @ 131m10s.450
=== 123: 0 | @ 132m1s.980
=== 124: 0 | @ 132m53s.793
=== 125: 0 | @ 133m45s.13
=== 126: 0 | @ 134m36s.208
=== 127: 0 | @ 135m27s.624
=== 128: 0 | @ 136m18s.580
=== 129: 0 | @ 137m10s.626
=== 130: 0 | @ 138m1s.510
=== 131: 0 | @ 138m52s.40
=== 132: 0 | @ 139m42s.279
=== 133: 0 | @ 140m32s.425
=== 134: 0 | @ 141m21s.966
=== 135: 0 | @ 142m11s.733
=== 136: 0 | @ 143m1s.467
=== 137: 0 | @ 143m50s.736
=== 138: 0 | @ 144m40s.437
=== 139: 0 | @ 145m29s.479
=== 140: 0 | @ 146m18s.46
=== 141: 0 | @ 147m6s.914
=== 142: 0 | @ 147m55s.826
=== 143: 0 | @ 148m44s.57
=== 144: 0 | @ 149m32s.394
=== 145: 0 | @ 150m20s.910
=== 146: 0 | @ 151m8s.855
=== 147: 0 | @ 151m56s.659
=== 148: 0 | @ 152m45s.98
=== 149: 0 | @ 153m32s.309
=== 150: 0 | @ 154m19s.354
=== 151: 0 | @ 155m6s.578
=== 152: 0 | @ 155m53s.194
=== 153: 0 | @ 156m39s.932
=== 154: 0 | @ 157m26s.375
=== 155: 0 | @ 158m12s.463
=== 156: 0 | @ 158m58s.668
=== 157: 0 | @ 159m44s.610
=== 158: 0 | @ 160m30s.744
=== 159: 0 | @ 161m16s.415
=== 160: 0 | @ 162m1s.831
=== 161: 0 | @ 162m47s.136
=== 162: 0 | @ 163m32s.979
=== 163: 0 | @ 164m19s.255
=== 164: 0 | @ 165m4s.424
=== 165: 0 | @ 165m49s.278
=== 166: 0 | @ 166m33s.965
=== 167: 0 | @ 167m18s.407
=== 168: 0 | @ 168m2s.470
=== 169: 0 | @ 168m46s.319
=== 170: 0 | @ 169m30s.143
=== 171: 0 | @ 170m13s.995
=== 172: 0 | @ 170m57s.560
=== 173: 0 | @ 171m40s.587
=== 174: 0 | @ 172m24s.18
=== 175: 0 | @ 173m6s.862
=== 176: 0 | @ 173m49s.597
=== 177: 0 | @ 174m31s.747
=== 178: 0 | @ 175m14s.56
=== 179: 0 | @ 175m55s.916
=== 180: 0 | @ 176m37s.927
=== 181: 0 | @ 177m19s.653
=== 182: 0 | @ 178m1s.500
=== 183: 0 | @ 178m42s.694
=== 184: 0 | @ 179m23s.759
=== 185: 0 | @ 180m4s.456
=== 186: 0 | @ 180m43s.799
=== 187: 0 | @ 181m23s.881
=== 188: 0 | @ 182m4s.543
=== 189: 0 | @ 182m45s.55
=== 190: 0 | @ 183m25s.427
=== 191: 0 | @ 184m5s.425
=== 192: 0 | @ 184m45s.382
=== 193: 0 | @ 185m26s.55
=== 194: 0 | @ 186m6s.145
=== 195: 0 | @ 186m46s.134
=== 196: 0 | @ 187m25s.717
=== 197: 0 | @ 188m4s.724
=== 198: 0 | @ 188m43s.780
=== 199: 0 | @ 189m22s.466
=== 200: 0 | @ 190m0s.958
=== 201: 0 | @ 190m39s.235
=== 202: 0 | @ 191m17s.395
=== 203: 0 | @ 191m55s.357
=== 204: 0 | @ 192m32s.769
=== 205: 0 | @ 193m10s.801
=== 206: 0 | @ 193m48s.349
=== 207: 0 | @ 194m25s.643
=== 208: 0 | @ 195m2s.630
=== 209: 0 | @ 195m39s.398
=== 210: 0 | @ 196m16s.174
=== 211: 0 | @ 196m53s.73
=== 212: 0 | @ 197m29s.527
=== 213: 0 | @ 198m5s.700
=== 214: 0 | @ 198m41s.829
=== 215: 0 | @ 199m17s.618
=== 216: 0 | @ 199m53s.537
=== 217: 0 | @ 200m29s.21
=== 218: 0 | @ 201m4s.413
=== 219: 0 | @ 201m39s.578
